Jump to definition           | gd
Find references              | gr
Show type under cursor       | K
Show diagnostic under cursor | gl
Next diagnostic              | ]d
Previous diagnostic          | [d
Toggle blame current line    | <leader>hb
Next git hunk                | ]c
Previous git hunk            | [c
Toggle symbol outline        | <leader>o
Rename symbol                | <leader>rn
Show code action             | <leader>ca
Preview Markdown             | <leader>m
Find files                   | <leader>ff
Live grep                    | <leader>fg
Find help tags               | <leader>fh
Find TODOs                   | <leader>ft
Find diagnostics             | <leader>fd
Find changes (git)           | <leader>fc
Find word under cursor       | <leader>fw
Close buffer (keep window)   | <leader>bd
